機台名稱,Datatime,工卡號,F_DORDER_ID,F_SEQ,F_COLOR_SEQ,F_PROD_ID,F_BATCH_ID,F_COLOR_CHI,F_LAB_ID,F_COLOR_ID,F_COLOR_ENG,F_COLOR_ARGB,COLOR_FLAG,F_UNIT,F_UNIT_P,Process,主機速度,冷風轉速1,冷風轉速2,烘箱轉速1,烘箱轉速2,烘箱轉速3,烘箱轉速4,烘箱轉速5,烘箱轉速6,烘箱轉速7,烘箱轉速8,烘箱溫度1,烘箱溫度2,烘箱溫度3,烘箱溫度4,烘箱溫度5,烘箱溫度6,烘箱溫度7,烘箱溫度8,烘箱溫度設定1,烘箱溫度設定2,烘箱溫度設定3,烘箱溫度設定4,烘箱溫度設定5,烘箱溫度設定6,烘箱溫度設定7,烘箱溫度設定8,排風轉速1,排風轉速2,排風濕度,含水率,總耗電,Thermal_Temper_NW,Thermal_Temper_N,Thermal_Temper_NE,Thermal_Temper_W,Thermal_Temper_C,Thermal_Temper_E,Thermal_Temper_SW,Thermal_Temper_S,Thermal_Temper_SE,Thermal_Temper_avg,Thermal_uniformity,Therma_Spot1_Temper,Thermal_Spot1_Temper_min,Thermal_Spot1_Temper_avg,Thermal_Spot1_Temper_max,Thermal_Full_min,Thermal_Full_avg,Thermal_Full_max,幅寬,碼重,布種規格
1,2021/4/27 22:39:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1757,1792,1800,1800,1791,1800,1536,168,170,170,170,170,170,170,169,168,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,93.04000092,92.34500122,90.70200348,90.55000305,90.86499786,88.76300049,89.6969986,90.14199829,86.95600128,90.33999634,0.921999991,0,86.99500275,90.47200012,93.71600342,93.71600342,93.71600342,93.71600342,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:40:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1756,1792,1800,1800,1791,1800,1536,168,170,170,170,170,170,170,169,168,170,170,170,170,170,170,169,1790,1777,,2.399880171,101,92.10399628,90.03800201,90.02999878,90.05999756,88.3259964,88.00499725,89.29299927,88.14700317,86.26000214,89.13999939,0.913999975,0,86.16200256,88.92700195,93.03700256,93.03700256,93.03700256,93.03700256,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:41:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1791,1800,1538,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,92.83499908,92.08100128,90.48699951,90.75299835,90.28700256,89.09300232,89.6210022,88.68299866,87.84899902,90.18800354,0.921999991,0,87.30599976,90.03500366,93.13700104,93.13700104,93.13700104,93.13700104,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:42:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1757,1792,1800,1800,1791,1800,1536,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,92.52899933,91.73899841,90.88999939,90.22799683,91.19499969,89.86299896,88.6269989,89.16300201,88.38200378,90.29000092,0.915000021,0,88.0039978,90.45600128,93.65000153,93.65000153,93.65000153,93.65000153,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:43:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1791,1800,1536,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,93.22699738,91.90000153,89.36399841,90.77100372,90.46499634,88.06900024,89.48100281,89.20600128,87.15499878,89.95999908,0.931999981,0,87.01200104,90.20700073,93.77100372,93.77100372,93.77100372,93.77100372,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:44:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1757,1792,1800,1800,1791,1800,1537,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,92.06199646,92.20500183,89.70200348,90.58300018,89.19400024,88.39399719,89.41300201,87.96600342,86.94799805,89.60700226,0.940999985,0,86.94799805,89.88600159,93.05599976,93.05599976,93.05599976,93.05599976,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:45:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1792,1800,1537,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,91.12999725,90.01300049,89.72200012,88.94300079,88.44599915,88.55000305,87.76000214,87.51399994,87.10700226,88.79799652,0.926999986,0,86.60199738,88.83499908,92.00099945,92.00099945,92.00099945,92.00099945,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:46:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1792,1800,1538,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,93.48699951,91.11499786,89.89700317,90.90599823,88.93399811,88.0759964,90.02200317,88.63800049,87.27899933,89.81700134,0.921999991,0,86.86000061,89.86100006,93.80000305,93.80000305,93.80000305,93.80000305,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:47:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1756,1792,1800,1800,1791,1800,1536,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,93.22499847,91.9469986,90.59700012,91.68499756,90.30500031,88.72699738,90.30000305,88.89399719,87.56400299,90.36000061,0.935000002,0,87.18099976,90.30500031,93.89099884,93.89099884,93.89099884,93.89099884,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:48:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1756,1792,1800,1800,1791,1800,1538,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,92.61000061,90.01399994,90.52700043,90.34500122,89.02100372,88.27500153,88.27700043,87.9980011,85.80400085,89.20800018,0.899999976,0,85.34100342,89.16200256,93.38700104,93.38700104,93.38700104,93.38700104,57,191,MF20-A/N/70D*320D無光NO PEACH
